movie_id,title,original_title,overview,tagline,genres,tmdb_poster_url,poster_path,popularity,vote_average,vote_count,release_date,runtime
9804,Waterworld,Waterworld,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.",Beyond the horizon lies the secret to a new beginning.,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",https://image.tmdb.org/t/p/w500/X4UyUO5jgzs3c5YafnmYKLKKYw.jpg,/yordVJcPLh3VNRL7bXzFIBEhXRr.jpg,16.885184,5.9,1017.0,1995-07-28,135.0
76,Before Sunrise,Before Sunrise,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.",Can the greatest romance of your life last only one night?,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg,11.304979,7.7,984.0,1995-01-27,105.0
1909,Don Juan DeMarco,Don Juan DeMarco,"John Arnold DeMarco is a man who believes he is Don Juan, the greatest lover in the world. Clad in a cape and mask, DeMarco undergoes psychiatric treatment with Dr. Jack Mickler to cure him of his apparent delusion. But the psychiatric sessions have an unexpected effect on the psychiatric staff and, most profoundly, Dr Mickler, who rekindles the romance in his complacent marriage.",The story of the man who thought he was the greatest lover in the world... and the people who tried to cure him of it!,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",https://image.tmdb.org/t/p/w500/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg,7.438934,6.3,184.0,1994-10-01,97.0
18395,Exit to Eden,Exit to Eden,"Elliot is going to the island of Eden to live out his submissive fantasies, but inadvertently photographs diamond smugglers at work. Smugglers, and detectives, follow him to the island, where they try to retrieve the film. Elliot begins falling in love with Lisa, the head mistress of the island, and Lisa must evaluate her feelings about Elliot and her own motivations.","To crack this case, these two cops will have to flash more than their badges.","[{'id': 53, 'name': 'Thriller'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/dUtpplO9K03uYCA71Vqj9ZRkVyA.jpg,/9oIEKFVPhgVEzbcbRPDXCdkUgRN.jpg,4.322726,4.3,28.0,1994-10-14,113.0
10525,Forget Paris,Forget Paris,"Mickey Gordon is a basketball referee who travels to France to bury his father. Ellen Andrews is an American living in Paris who works for the airline he flies on. They meet and fall in love, but their relationship goes through many difficult patches. The story is told in flashback by their friends at a restaurant waiting for them to arrive.",,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/c2RwGHqWwvh7nmRKpdIyYUWMEvP.jpg,/l8lq77bNqJY94JCMPI731jwtDsE.jpg,16.236745,6.1,38.0,1995-05-19,101.0
15789,A Goofy Movie,A Goofy Movie,"Though Goofy always means well, his amiable cluelessness and klutzy pratfalls regularly embarrass his awkward adolescent son, Max. When Max's lighthearted prank on his high-school principal finally gets his longtime crush, Roxanne, to notice him, he asks her on a date. Max's trouble at school convinces Goofy that he and the boy need to bond over a cross-country fishing trip like the one he took with his dad when he was Max's age, which throws a kink in his son's plans to impress Roxanne.",It's the story of a father who couldn't be closer...to driving his son crazy.,"[{'id': 10749, 'name': 'Romance'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",https://image.tmdb.org/t/p/w500/2aLNp9HBPNj9mI5R2tFw4vcfbFL.jpg,/bycmMhO3iIoEDzP768sUjq2RV4T.jpg,10.177977,6.7,404.0,1995-04-07,78.0
13701,Immortal Beloved,Immortal Beloved,"The life and death of the legendary Ludwig van Beethoven. Beside all the work he is known for, the composer once wrote a famous love letter to a nameless beloved and the movie tries to find out who this beloved was. Not easy as Beethoven has had many women in his life.",,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/lkqz2R5pjXeDaiIjR3Z6JTGjtg6.jpg,/meRFVzGpBJiObWfdtOoNr0UPsP4.jpg,7.983666,6.9,90.0,1994-12-16,121.0
32631,The Hunted,The Hunted,A businessman on a trip to Tokyo ends up in the middle of a centuries old feud between a criminal Ninja cult and a Samurai when he witnesses a assassination performed by the Ninja-cult leader.,He's trapped in a world where killing is an art and revenge is an obsession,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://image.tmdb.org/t/p/w500/luCVuKiRBcQjr9MuY9mRCTehjpY.jpg,/llu5wgQGYyMVDnz4p8ds8Um3lUa.jpg,2.756986,6.0,25.0,1995-02-24,106.0
47504,Little Odessa,Little Odessa,"The film follows the personal relationship between a father and his two sons, one of whom is a hit-man for the Russian mafia in Brooklyn.",Brothers in blood. Partners in crime.,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/80zDn3oanRMWDSDX1cPKZVIi8OO.jpg,/9BQrTWQodxm0G349yruhRuJV38q.jpg,1.861292,6.4,31.0,1994-10-27,98.0
43742,Love Affair,Love Affair,"Ex-football star Mike Gambril meets Terry McKay on a flight to Sydney, which is forced to land on a small atoll. They become romantic on board a ship sent to take them to a larger island. They agree to meet in New York three months later to see if the attraction is real. One shows up but the other doesn't. However, a chance meeting brings them together again.",,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/uPEh48HZN9qqewkF2Hsi9BD6oz7.jpg,/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg,3.290192,4.3,11.0,1994-10-21,108.0
11318,The Madness of King George,The Madness of King George,"Nicholas Hytner’s much awarded 1994 drama, based on Alan Bennett's West End play. George III's erratic behaviour leads to a plot in Parliament to have him declared insane and removed from the throne.",,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",https://image.tmdb.org/t/p/w500/1dTSY023ZyBbgVSKDRuA6JLGSnZ.jpg,/Apgj4j73aUyMkNaPoSuQ7DJbt1M.jpg,4.81307,6.7,67.0,1994-12-28,107.0
40490,Man of the House,Man of the House,"Ben Archer is not happy. His mother, Sandy, has just met a man, and it looks like things are pretty serious. Driven by a fear of abandonment, Ben tries anything and everything to ruin the ""love bubble"" which surrounds his mom. However, after Ben and Jack's experiences in the Indian Guides, the two become much closer.",Jack wants to marry Ben's mother. But there are strings attached.,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",https://image.tmdb.org/t/p/w500/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,/6bnOhhrrrq6RZhMgz4aGyqbJ9Wf.jpg,2.558118,5.1,40.0,1995-03-03,96.0
38722,My Family,My Family,"Traces over three generations an immigrant family's trials, tribulations, tragedies, and triumphs. Maria and Jose, the first generation, come to Los Angeles, meet, marry, face deportation all in the 1930's. They establish their family in East L.A., and their children Chucho, Paco, Memo, Irene, Toni, and Jimmy deal with youth culture and the L.A. police in the 50's. As the second generation become adults in the 60's, the focus shifts to Jimmy, his marriage to Isabel (a Salvadorian refugee), their son, and Jimmy's journey to becoming a responsible parent.",Three generations of dreams.,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/i6t6QF5QyUd3UAQ8JM8eVU1169D.jpg,/wDV4MCBmmTdgNQTv2tYbQg5diaB.jpg,3.121288,7.0,11.0,1995-05-03,128.0
6950,Outbreak,Outbreak,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.",This animal carries a deadly virus... and the greatest medical crisis in the world is about to happen.,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",https://image.tmdb.org/t/p/w500/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,/4KymNvlWR0XF0sqX2BWRd9Z3yXR.jpg,13.676444,6.4,522.0,1995-03-10,127.0
11450,Quiz Show,Quiz Show,Quiz Show is a 1994 American historical drama film which tells the true story of the Twenty One quiz show scandal of the 1950s.,Fifty million people watched but no one saw a thing.,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,/yoGJo1h3Hl2exXPVcG9UXWDENtX.jpg,7.772505,7.1,262.0,1994-09-16,133.0
27993,Senior Trip,Senior Trip,"While on detention, a group of misfits and slackers have to write a letter to the President explaining what is wrong with the education system. There is only one problem, the President loves it! Hence, the group must travel to Washington to meet the Main Man.",Stupid tricks. Outrageous chaos. Total destruction. They're taking it on the road.,"[{'id': 35, 'name': 'Comedy'}]",https://image.tmdb.org/t/p/w500/3QpB4KpMKRnZnsJOsemOZHDoQKw.jpg,/qfMbFIGNIQ76FEu7Wg48aEbxFh1.jpg,5.05806,5.7,23.0,1995-09-08,91.0
9059,Tales from the Crypt: Demon Knight,Tales from the Crypt: Demon Knight,A man on the run is hunted by a demon known as the Collector.,Ready for your deadtime story?,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",https://image.tmdb.org/t/p/w500/8uD5yk0ECebJ59lhvhTBKhUojc.jpg,/8uD5yk0ECebJ59lhvhTBKhUojc.jpg,9.455342,6.7,96.0,1995-01-13,92.0
34152,Crooklyn,Crooklyn,"From Spike Lee comes this vibrant semi-autobiographical portrait of a school-teacher, her stubborn jazz-musician husband and their five kids living in '70s Brooklyn.",,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg,/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg,2.533022,6.7,31.0,1994-05-13,115.0
29973,Cobb,Cobb,"Al Stump is a famous sports-writer chosen by Ty Cobb to co-write his official, authorized 'autobiography' before his death. Cobb, widely feared and despised, feels misunderstood and wants to set the record straight about 'the greatest ball-player ever,' in his words.",Everyone hated this baseball legend. And he loved it.,"[{'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/clOqh9is8vWZvX6AUjF4HtLdQMj.jpg,/k6FYPlBJbH6e7UrDQ9B6LTNDSkD.jpg,2.583363,6.1,29.0,1994-12-02,128.0
48992,I Like It Like That,I Like It Like That,"Lisette and husband Chino face marital difficulties. She is fed up with the kids, while he has job troubles. His mother Rosaria hates Lisette and the neighborhood tramp has designs on Chino. Things get even worse when Chino goes to jail and Lisette gets a good job uptown. Can this marriage be saved?","For Lisette, everyday has become independence day.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/aCxh21UPLHi7Pxm9ykH1GNx39OW.jpg,/5KYvQJGgrvceGhsRe8ydSpU7A8a.jpg,0.289295,6.3,4.0,1994-10-14,104.0
10879,I Love Trouble,I Love Trouble,"Rival Chicago reporters Sabrina Peterson (Roberts) and Peter Brackett (Nolte) reluctantly join forces to uncover a train wreck conspiracy and bite off more than they can chew while pursuing the story and bickering along the way - and falling in love, despite the fact that he's many years older than she.Sabrina is an ambitious, gifted reporter willing to do whatever it takes to learn the truth about the train accident, which leads her into conflict, then reluctant partnership, with fading star newsman Peter who works for a rival paper. He is her polar opposite: he chases women, smokes cigars, and has just published his first novel. During their pursuit of the story, Peter and Sabrina clash over virtually everything - he also subjects Sabrina to indecent exposure in front of a group of boy scouts after he catches her skinny dipping.",Romance Was Never More Dangerous!,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/2uyytK3XFRPFXoTchFDtsWiSujn.jpg,/kOiWROfIm3Drk4EHr4XdNKNk5oZ.jpg,3.570874,5.3,41.0,1994-06-29,123.0
2758,Addams Family Values,Addams Family Values,"Siblings Wednesday and Pugsley Addams will stop at nothing to get rid of Pubert, the new baby boy adored by parents Gomez and Morticia. Things go from bad to worse when the new ""black widow"" nanny, Debbie Jellinsky, launches her plan to add Fester to her collection of dead husbands.",The Family Just Got A Little Stranger,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",https://image.tmdb.org/t/p/w500/sdxT2VjVSx9DRicwnuECUdBHeE7.jpg,/zEwEXGDvJ8Ou2s6XbLMPvMTX53S.jpg,17.555909,6.5,537.0,1993-11-19,94.0
11310,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold,"On Mitch Robbins 40th birthday begins quite well until he returns home and finds his brother Glen, the black sheep of the family, in his sofa. Nevertheless he is about to have a wonderful birthday-night with his wife when he discovers a treasure map of Curly by chance. Together with Phil and unfortunately with Glen he tries to find the hidden gold of Curly's father in the desert of Arizona.",,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",https://image.tmdb.org/t/p/w500/gh0lsyJARglhpbKmnY8i8M7V5bI.jpg,/gh0lsyJARglhpbKmnY8i8M7V5bI.jpg,8.605703,4.9,103.0,1994-06-10,116.0
18658,Clean Slate,Clean Slate,"Pogue is a private eye with a problem: every morning when he wakes up, he has total amnesia, waking up with a 'blank slate'. Since he is in the middle of a hot investigation and has a developing romance, this is less than convenient.",,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",https://image.tmdb.org/t/p/w500/kAYsvQvBVshLHGTIDGHcj9jTJq0.jpg,/kAYsvQvBVshLHGTIDGHcj9jTJq0.jpg,2.724621,5.7,25.0,1994-05-06,107.0
26261,Cops & Robbersons,Cops & Robbersons,"Hard-as-nails cop Jake Stone moves in with the Robbersons so he can watch a hitman who has moved in next door. The Hitman is one thing, but can you survive the Robberson family.",,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",https://image.tmdb.org/t/p/w500/wnkWgFU5UcLwbExCp1YtCg5Ox4E.jpg,/wnkWgFU5UcLwbExCp1YtCg5Ox4E.jpg,7.042878,5.0,36.0,1994-04-15,93.0
25440,Widows' Peak,Widows' Peak,Scandal and mystery reign following the arrival of Edwina in a small Irish town populated entirely by widows. Edwina quickly falls out with the locals while also falling in with the son of the community's leader,,"[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}, {'id': 10769, 'name': 'Foreign'}]",https://image.tmdb.org/t/p/w500/xXyVUwvJesJJChzpvn7xj5cAOfm.jpg,/xXyVUwvJesJJChzpvn7xj5cAOfm.jpg,0.409427,4.3,3.0,1994-05-13,101.0
13815,Fresh,Fresh,"Michael is a 12-year-old drug pusher who lives in a crowded house with his cousins and aunt. His father has become a street bum,but still meets with Fresh on occasion to play chess. Fresh is rather quiet in a crazy world. Fresh's sister is a junkie who sleeps with the dealers that Fresh sells for. As the story progresses Fresh realizes that he doesn't want to sell drugs anymore - he wants revenge.",,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",https://image.tmdb.org/t/p/w500/uXRIIUzjDZZdWR2cUzPJ9eAqaHv.jpg,/uXRIIUzjDZZdWR2cUzPJ9eAqaHv.jpg,3.970215,7.6,56.0,1994-08-24,114.0
35588,Geronimo: An American Legend,Geronimo: An American Legend,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, whi",A Warrior. A Leader. A Legend.,"[{'id': 36, 'name': 'History'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",https://image.tmdb.org/t/p/w500/9FNuwnhHngkblD6eVRXnmJN8kQq.jpg,/cipYLKXoT3PRPIccwUN47bZvYhO.jpg,4.653462,5.9,44.0,1993-12-10,115.0
9255,Hot Shots! Part Deux,Hot Shots! Part Deux,"Topper Harley is found to be working as an odd-job-man in a monastery. The CIA want him to lead a rescue mission into Iraq, to rescue the last rescue team, who went in to rescue the last rescue team who... who went in to rescue hostages left behind after Desert Storm.",Just deux it.,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",https://image.tmdb.org/t/p/w500/zh9EGK970GHo10ETclWBOjZVUOK.jpg,/oOXt9gmvsbnoNAx6s202GDTirfw.jpg,13.482371,6.2,463.0,1993-05-21,86.0
10502,The Man without a Face,The Man without a Face,"The story of a relationship between a teacher and his troubled pupil. Justin McLeod is a former teacher who lives as a recluse on the edge of town. His face is disfigured from an automobile accident and fire ten years before in which a boy was incinerated and for which he was convicted of involuntary manslaughter. He is also suspected of being a pedophile. He is befriended by Chuck, causing the town's suspicion and hostility to be ignited. McLeod inculcates in his protege a love of justice and freedom from prejudice which sustains him beyond the end of the film.",A fatherless boy had almost given up all his dreams... until one man believed in him enough to make them come true.,"[{'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/9dmH2jc6jwlZo90JQTFOx4XaBWt.jpg,/24QERLoucnNZIE0gGYdCFzi58IV.jpg,5.997712,6.2,125.0,1993-08-25,114.0
41878,Savage Nights,Les Nuits Fauves,"Jean is young, gay, and promiscuous. Only after he meets one or two women, including Laura does he come to realize his bisexuality. Jean has to overcome a personal crisis and a tough choice between Laura and his male lover Samy.",,"[{'id': 18, 'name': 'Drama'}]",https://image.tmdb.org/t/p/w500/5Onj1lmo28QklT5iiEdYlKygO7h.jpg,/i9Yg2QH13DfezpKVvdrl0Olpe9V.jpg,1.031556,6.2,11.0,1992-08-19,126.0
8850,The Shadow,The Shadow,"Based on the 1930's comic strip, puts the hero up against his arch enemy, Shiwan Khan, who plans to take over the world by holding a city to ransom using an atom bomb. Using his powers of invisibility and ""The power to cloud men's minds"", the Shadow comes blazing to the city's rescue with explosive results.",The Shadow Knows!,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",https://image.tmdb.org/t/p/w500/xAbFJH3vQYZvUyzzGAtG4OLy492.jpg,/uk2DdXqdGiFfF5PrvvadQHKES1o.jpg,7.881107,5.4,140.0,1994-07-01,108.0
23210,Six Degrees of Separation,Six Degrees of Separation,"The story of a young, gay black con artist who, posing as the son of Sidney Poitier, cunningly maneuvers his way into the lives of a white, upper-class New York family.","For Paul, every person is a new door to a new world.","[{'id': 9648, 'name': 'Mystery'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",https://image.tmdb.org/t/p/w500/oH0bl69uZZA6dAclgFRkm1Vwcry.jpg,/uBbjfRWu5Z9YbzC1LyvA0o1DeyZ.jpg,8.730025,6.5,75.0,1993-12-08,112.0
41590,Trial by Jury,Trial by Jury,"Valerie is a juror in the trail of a mob boss. When her young son's life is threatened, she has no option other than to see that justice isn't done.","For one juror, the question of guilt or innocence is a matter of life or death... her own.","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://image.tmdb.org/t/p/w500/uYVGv35bMH7MybbfvWHEC9xQDMY.jpg,/qv6iQOtIbktcUZcE7VIoComjtMI.jpg,0.85586,5.5,5.0,1994-09-09,107.0
161158,"Paris, France","Paris, France",A writer has torrid fantasy affairs with young men.,,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",https://image.tmdb.org/t/p/w500/thcPOPd5e497Ta0pYN8lSBkfYMN.jpg,/aiJ6foo0jdOaJj3vnbxZTlI2JvX.jpg,0.741522,6.0,2.0,1994-02-04,112.0
51980,Germinal,Germinal,"It's mid 19th century, north of France. The story of a coal miner's town. They are exploited by the mine's owner. One day the decide to go on strike, and then the authorities repress them",Who needs God and Heaven? We can change this lousy world.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/cizv23RUxcpTrQt4kcOz7Sv6YJl.jpg,/uGDqQAosD7HDD1YZd5sgoSLoNfT.jpg,2.759302,6.3,43.0,1993-09-29,160.0
11800,Naked in New York,Naked in New York,"Naked in New York begins in the car of grown up Jake, he is talking to us about his girlfriend, Joanne, (watch for the facial expressions) and to whom you can turn to for help while facing life ('your parents, nyaa, I don't think so'). From there it flashes back to his memories of his parents, college, house across from a squirrel infested peanut factory, best friend, writing career and Joanne.",,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",https://image.tmdb.org/t/p/w500/gAufFGm2Qly8TYrhy4me9X35B7m.jpg,/k9dfMyKqAPxMF9Qelw0rvHbf34Z.jpg,0.449733,4.0,3.0,1993-11-10,95.0
